Date Created,Number of Likes,Source of Tweet,Tweets
2023-03-02 23:36:37+00:00,161,Twitter for iPad,"Update:
Der Brand ist gelöscht. 200 m² waren betroffen.
Weitere Ausbreitung verhindert.
1 Person kam in eine Klinik. 3 Katzen wurden gerettet.
Im Einsatz auch 2 #DLK #eLHF und 2 LHF der #LFW.
@BA_Pankow und @drk_berlin #Nordost sorgen für Betreuung und Unterbringung der Bewohner. https://t.co/P6BiJc1ZOi"
2023-03-02 19:24:48+00:00,225,Twitter for iPhone,"#Brand in #Prenzlauer_Berg Es brennt das Dach eines Wohngebäudes in der #Paul_Robeson_Straße 
Es wurden weitere Fahrzeuge und Kräfte nachalarmiert. Wir sind hier aktuell mit rund 52 Kräften im Einsatz bzw. auf der Anfahrt. 
Weitere Infos folgen …"
2023-03-01 15:10:17+00:00,224,Twitter for Android,"#Verkehrsunfall zwischen einem Schulbus und 2 Pkw an der #Falkenseer_Chaussee in #Spandau.
15 Personen, darunter 11 Kinder wurden vom #Rettungsdienst gesichtet.
2 Erwachsene und alle 11 Kinder wurden in umliegende Kliniken gebracht. Alle Betroffenen waren nur leicht verletzt. https://t.co/29eXZZEFAf"
2023-02-28 06:25:48+00:00,131,Twitter for iPhone,"In der vergangenen Nacht kam es in der #Charlottenburger_Straße in #Weißensee zu einem #Brand in einer Wohnung eines dreigeschossigen Mehrfamilienhauses. Dabei konnte eine Person nur noch tot geborgen werden. Eingesetzt: 1 C-Rohr, 4 Atemschutzgeräte. Vor Ort: 22 Kräfte.
#EstuK"
2023-02-28 06:25:33+00:00,166,Twitter for iPhone,Gestern Nachmittag entdeckten Passanten im #Weißensee im gleichnamigen Ortsteil 2 leblose Personen und alarmierten die Feuerwehr. Beide konnten nur noch tot geborgen werden. Es handelte sich um eine Frau und ein Kleinkind. Wir suchten den See nach weiteren Personen ab. Kein Fund.
2023-02-27 16:22:32+00:00,195,Twitter for iPhone,"#Brand im Keller eines #Hochhaus​es in der #Bismarckstraße in #Charlottenburg. Rauchausbreitung in mehrere Hausaufgänge. Alles kontrolliert und belüftet. Keiner verletzt. Eingesetzt: u.a. 1 C-Rohr, 10 Atemschutzgeräte, 1 Drucklüfter. Vor Ort waren wir mit 48 Kräften.
#EstuK https://t.co/zWe16qVlmv"
2023-02-26 17:19:14+00:00,166,Twitter for iPhone,"In der Straße #Rue_Racine in #Wittenau kam es in einer ehemaligen Schule zu einem #Brand im Keller des dreigeschossigen leerstehenden Gebäudes. Im Einsatz waren 38 Kräfte (auch die #FF mit 2 TLF und 1 SW) und setzten u.a. 1 C-Rohr, 2 Atemschutzgeräte und 1 Drucklüfter ein.
#EstuK https://t.co/2mpitYMNzD"
2023-02-26 10:48:20+00:00,192,Twitter for iPhone,"In der #Danziger_Straße in #Prenzlauer_Berg kam es zu einem #Brand in der Küche eines Restaurants im EG eines fünfgeschossigen Gebäudes. Wir setzten u.a. 1 C-Rohr, 4 Atemschutzgeräte und 1 Drucklüfter ein. Mehrere Wohnungen kontrolliert. Keiner verletzt. 24 Kräfte tätig.
#EstuK https://t.co/cBz1zX9RA5"
2023-02-26 10:30:10+00:00,139,Twitter for iPhone,"Ein Technischer Defekt im Klimagerät eines Regionalexpresses verursachte die Verpuffung mit leichter Rauchentwicklung. Kein Folgebrand. Keiner verletzt. Es blieb für uns bei der Erkundung und Kontrolle. Ein Techniker kontrolliert den Zug noch mal.
#EstuK und an @DB_Bahn übergeben https://t.co/mhaCeq8LLu"
2023-02-26 09:54:02+00:00,192,Twitter for Android,Verpuffung im Bereich eines Triebwagen an einem Zug am #Hauptbahnhof in #Moabit. Es sind keine Personen verletzt. Wir kontrollieren hier aktuell den betroffenen Zug.
